Date,Time,Open,High,Low,Close,TickVol,Volume,Spread,Datetime
2024.04.26,1:00:00,38141.75,38145.75,38123.25,38144.75,241,0,330,4/26/2024 1:00
2024.04.26,1:15:00,38146.25,38146.25,38121.25,38130.75,342,0,330,4/26/2024 1:15
2024.04.26,1:30:00,38129.75,38143.25,38129.25,38140.75,293,0,320,4/26/2024 1:30
2024.04.26,1:45:00,38140.25,38142.25,38129.25,38137.65,232,0,260,4/26/2024 1:45
2024.04.26,2:00:00,38135.65,38140.25,38119.75,38127.25,349,0,260,4/26/2024 2:00
2024.04.26,2:15:00,38128.25,38133.35,38118.75,38121.25,242,0,300,4/26/2024 2:15
2024.04.26,2:30:00,38122.25,38127.75,38110.75,38121.35,269,0,310,4/26/2024 2:30
2024.04.26,2:45:00,38121.85,38131.75,38119.35,38122.35,266,0,300,4/26/2024 2:45
2024.04.26,3:00:00,38124.85,38128.75,38096.25,38123.25,600,0,320,4/26/2024 3:00
2024.04.26,3:15:00,38122.25,38129.75,38116.25,38123.25,419,0,330,4/26/2024 3:15
2024.04.26,3:30:00,38124.25,38133.35,38122.25,38126.35,266,0,290,4/26/2024 3:30
2024.04.26,3:45:00,38125.35,38131.35,38122.35,38124.45,258,0,300,4/26/2024 3:45
2024.04.26,4:00:00,38124.95,38126.45,38108.25,38110.25,385,0,300,4/26/2024 4:00
2024.04.26,4:15:00,38110.75,38125.85,38109.25,38125.35,427,0,290,4/26/2024 4:15
2024.04.26,4:30:00,38126.35,38144.75,38125.25,38135.25,405,0,310,4/26/2024 4:30
2024.04.26,4:45:00,38133.75,38137.95,38130.35,38133.05,298,0,270,4/26/2024 4:45
2024.04.26,5:00:00,38132.55,38140.45,38129.35,38137.35,277,0,270,4/26/2024 5:00
2024.04.26,5:15:00,38137.35,38141.95,38133.55,38139.35,198,0,210,4/26/2024 5:15
2024.04.26,5:30:00,38140.35,38142.75,38127.55,38127.55,157,0,210,4/26/2024 5:30
2024.04.26,5:45:00,38127.05,38128.45,38111.25,38124.65,235,0,250,4/26/2024 5:45
2024.04.26,6:00:00,38124.15,38136.55,38124.15,38135.55,135,0,220,4/26/2024 6:00
2024.04.26,6:15:00,38136.05,38153.25,38130.35,38145.25,352,0,250,4/26/2024 6:15
2024.04.26,6:30:00,38144.25,38157.25,38131.35,38133.35,383,0,310,4/26/2024 6:30
2024.04.26,6:45:00,38133.85,38147.45,38130.25,38147.45,305,0,290,4/26/2024 6:45
2024.04.26,7:00:00,38147.95,38147.95,38136.95,38144.75,203,0,230,4/26/2024 7:00
2024.04.26,7:15:00,38145.25,38156.15,38141.65,38154.15,222,0,240,4/26/2024 7:15
2024.04.26,7:30:00,38154.65,38159.25,38149.85,38153.75,223,0,230,4/26/2024 7:30
2024.04.26,7:45:00,38153.75,38156.15,38141.75,38143.45,152,0,220,4/26/2024 7:45
2024.04.26,8:00:00,38144.45,38147.85,38139.25,38147.35,291,0,280,4/26/2024 8:00
2024.04.26,8:15:00,38147.85,38155.35,38144.45,38151.35,269,0,290,4/26/2024 8:15
2024.04.26,8:30:00,38151.25,38171.95,38149.35,38170.45,273,0,290,4/26/2024 8:30
2024.04.26,8:45:00,38170.95,38185.35,38169.45,38180.75,281,0,290,4/26/2024 8:45
2024.04.26,9:00:00,38180.25,38191.55,38176.05,38184.15,581,0,150,4/26/2024 9:00
2024.04.26,9:15:00,38183.15,38185.65,38166.65,38168.65,275,0,140,4/26/2024 9:15
2024.04.26,9:30:00,38169.15,38185.25,38167.15,38185.25,326,0,140,4/26/2024 9:30
2024.04.26,9:45:00,38185.05,38185.05,38159.65,38159.95,329,0,150,4/26/2024 9:45
2024.04.26,10:00:00,38160.95,38169.45,38140.95,38144.95,1103,0,190,4/26/2024 10:00
2024.04.26,10:15:00,38145.95,38152.95,38134.45,38152.95,715,0,180,4/26/2024 10:15
2024.04.26,10:30:00,38153.45,38166.25,38149.05,38166.25,591,0,140,4/26/2024 10:30
2024.04.26,10:45:00,38166.25,38168.25,38150.15,38153.15,493,0,130,4/26/2024 10:45
2024.04.26,11:00:00,38152.15,38168.95,38130.45,38162.05,838,0,160,4/26/2024 11:00
2024.04.26,11:15:00,38160.55,38170.45,38149.95,38167.05,571,0,170,4/26/2024 11:15
2024.04.26,11:30:00,38168.05,38181.65,38166.05,38174.15,431,0,140,4/26/2024 11:30
2024.04.26,11:45:00,38175.15,38180.15,38154.55,38160.15,488,0,140,4/26/2024 11:45
2024.04.26,12:00:00,38161.15,38166.15,38136.95,38136.95,506,0,150,4/26/2024 12:00
2024.04.26,12:15:00,38137.95,38139.55,38123.05,38138.15,479,0,140,4/26/2024 12:15
2024.04.26,12:30:00,38139.15,38156.65,38132.15,38154.15,474,0,140,4/26/2024 12:30
2024.04.26,12:45:00,38153.15,38163.15,38149.05,38157.05,410,0,150,4/26/2024 12:45
2024.04.26,13:00:00,38157.15,38162.15,38142.55,38143.05,401,0,140,4/26/2024 13:00
2024.04.26,13:15:00,38142.55,38161.05,38132.95,38159.05,496,0,160,4/26/2024 13:15
2024.04.26,13:30:00,38159.55,38164.05,38129.05,38138.15,479,0,140,4/26/2024 13:30
2024.04.26,13:45:00,38139.15,38145.65,38119.95,38133.85,444,0,140,4/26/2024 13:45
2024.04.26,14:00:00,38132.85,38158.05,38126.85,38152.05,571,0,170,4/26/2024 14:00
2024.04.26,14:15:00,38151.55,38152.05,38127.55,38137.05,558,0,150,4/26/2024 14:15
2024.04.26,14:30:00,38137.55,38146.05,38120.55,38134.15,532,0,150,4/26/2024 14:30
2024.04.26,14:45:00,38133.65,38145.15,38129.15,38139.15,496,0,150,4/26/2024 14:45
2024.04.26,15:00:00,38140.15,38154.95,38123.95,38145.95,609,0,150,4/26/2024 15:00
2024.04.26,15:15:00,38146.95,38157.45,38124.95,38145.45,952,0,190,4/26/2024 15:15
2024.04.26,15:30:00,38143.45,38276.95,38136.45,38193.95,3611,0,190,4/26/2024 15:30
2024.04.26,15:45:00,38194.45,38199.95,38097.95,38143.95,2484,0,190,4/26/2024 15:45
2024.04.26,16:00:00,38144.95,38165.95,38091.95,38097.95,2003,0,190,4/26/2024 16:00
2024.04.26,16:15:00,38098.45,38121.95,38051.95,38078.45,1932,0,190,4/26/2024 16:15
2024.04.26,16:30:00,38078.95,38209.45,38055.45,38200.45,4141,0,190,4/26/2024 16:30
2024.04.26,16:45:00,38199.45,38262.05,38180.45,38216.05,3340,0,180,4/26/2024 16:45
